polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens
negative,1713185,1713185:0,"
     This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.
    ",FOOD#QUALITY,food,"('104', '108')","['This', 'place', 'really', 'trendi', 'forgotten', 'important', 'part', 'restaurant', 'food']"
positive,1713185,1713185:0,"
     This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.
    ",AMBIENCE#GENERAL,place,"('5', '10')","['This', 'place', 'really', 'trendi', 'forgotten', 'important', 'part', 'restaurant', 'food']"
negative,1713185,1713185:1,"
     The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.
    ",FOOD#QUALITY,food,"('42', '46')","['The', 'last', 'two', 'times', 'I', 'ordered', 'food', 'soo', 'spicy', 'I', 'could', 'barely', 'eat', 'spice', 'took', 'away', 'flavor', 'dish']"
negative,1713185,1713185:1,"
     The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.
    ",FOOD#QUALITY,spice,"('98', '103')","['The', 'last', 'two', 'times', 'I', 'ordered', 'food', 'soo', 'spicy', 'I', 'could', 'barely', 'eat', 'spice', 'took', 'away', 'flavor', 'dish']"
negative,1713185,1713185:2,"
     And the Tom Kha soup was pathetic.
    ",FOOD#QUALITY,Tom Kha soup,"('8', '20')","['And', 'Tom', 'Kha', 'soup', 'pathetic']"
negative,1713185,1713185:3,"
     If you want good authentic Thai this place is not the place to go.
    ",FOOD#QUALITY,Thai,"('27', '31')","['If', 'want', 'good', 'authentic', 'Thai', 'place', 'place', 'go']"
positive,1718513,1718513:0,"
     We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.
    ",FOOD#QUALITY,food,"('100', '104')","['We', 'went', 'lunch', 'couple', 'weeks', 'ago', 'Saturday', 'I', 'thoroughly', 'impressed', 'food']"
positive,1718513,1718513:1,"
     The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.
    ",FOOD#QUALITY,pesto pizza,"('4', '15')","['The', 'pesto', 'pizza', 'excellent', 'pizza', 'nice', 'amount', 'spicy', 'Italian', 'cheese', 'never', 'heard']"
positive,1718513,1718513:1,"
     The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.
    ",FOOD#QUALITY,spicy Italian cheese,"('70', '90')","['The', 'pesto', 'pizza', 'excellent', 'pizza', 'nice', 'amount', 'spicy', 'Italian', 'cheese', 'never', 'heard']"
positive,1718513,1718513:2,"
     Conveniently located too, being right on Bedford ave.
    ",LOCATION#GENERAL,NULL,"('0', '0')","['Conveniently', 'located', 'right', 'Bedford', 'ave']"
positive,1718513,1718513:3,"
     THe back garden sitting area is very pleasant, where you can see their personal herb garden.
    ",AMBIENCE#GENERAL,back garden sitting area,"('4', '28')","['THe', 'back', 'garden', 'sitting', 'area', 'pleasant', 'see', 'personal', 'herb', 'garden']"
positive,1718513,1718513:4,"
     I will definetly be going back.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['I', 'definetly', 'going', 'back']"
positive,1719567,1719567:0,"
     We had the lobster sandwich and it was FANTASTIC.
    ",FOOD#QUALITY,lobster sandwich,"('11', '27')","['We', 'lobster', 'sandwich', 'FANTASTIC']"
negative,1719567,1719567:1,"
     My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.
    ",FOOD#STYLE_OPTIONS,NULL,"('0', '0')","['My', 'husband', 'said', 'eaten', 'several', 'portion', 'fine', 'even', 'exclaimed', 'french', 'fries', 'best']"
