polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens
positive,TR#1,TR#1:0,"
     This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['This', 'one', 'favorite', 'spot', 'relaxing', 'food', 'great', 'times', 'celebrated', 'engagement', 'wedding', 'well', 'organized']"
positive,TR#1,TR#1:0,"
     This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .
    ",AMBIENCE#GENERAL,NULL,"('0', '0')","['This', 'one', 'favorite', 'spot', 'relaxing', 'food', 'great', 'times', 'celebrated', 'engagement', 'wedding', 'well', 'organized']"
positive,TR#1,TR#1:0,"
     This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .
    ",FOOD#QUALITY,food,"('51', '55')","['This', 'one', 'favorite', 'spot', 'relaxing', 'food', 'great', 'times', 'celebrated', 'engagement', 'wedding', 'well', 'organized']"
positive,TR#1,TR#1:0,"
     This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .
    ",RESTAURANT#MISCELLANEOUS,NULL,"('27', '31')","['This', 'one', 'favorite', 'spot', 'relaxing', 'food', 'great', 'times', 'celebrated', 'engagement', 'wedding', 'well', 'organized']"
positive,TR#1,TR#1:1,"
     The staff is very good.
    ",SERVICE#GENERAL,staff,"('4', '9')","['The', 'staff', 'good']"
positive,TR#1,TR#1:2,"
     Love their drink menu.
    ",DRINKS#STYLE_OPTIONS,drink menu,"('11', '21')","['Love', 'drink', 'menu']"
positive,TR#1,TR#1:3,"
     I highly recommend this beautiful place.
    ",AMBIENCE#GENERAL,place,"('34', '39')","['I', 'highly', 'recommend', 'beautiful', 'place']"
positive,TR#1,TR#1:3,"
     I highly recommend this beautiful place.
    ",RESTAURANT#GENERAL,place,"('34', '39')","['I', 'highly', 'recommend', 'beautiful', 'place']"
positive,TR#8,TR#8:0,"
     Nice for one time special occasion.
    ",RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['Nice', 'one', 'time', 'special', 'occasion']"
positive,TR#8,TR#8:2,"
     They honored reservation on Sunday afternoon very well.
    ",SERVICE#GENERAL,NULL,"('0', '0')","['They', 'honored', 'reservation', 'Sunday', 'afternoon', 'well']"
negative,TR#8,TR#8:4,"
     We were offered water for the table but were not told the Voss bottles of water were $8 a piece.
    ",DRINKS#PRICES,Voss bottles of water,"('58', '79')","['We', 'offered', 'water', 'table', 'told', 'Voss', 'bottles', 'water', '8', 'piece']"
neutral,TR#8,TR#8:5,"
     Food was OK.
    ",FOOD#QUALITY,Food,"('0', '4')","['Food', 'OK']"
positive,TR#8,TR#8:6,"
     Nice view of river and NYC.
    ",LOCATION#GENERAL,view of river and NYC,"('5', '26')","['Nice', 'view', 'river', 'NYC']"
positive,BG#1,BG#1:0,"
     I come here enjoy very much with husband.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['I', 'come', 'enjoy', 'much', 'husband']"
positive,BG#1,BG#1:1,"
     Remind me of home.
    ",RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['Remind', 'home']"
positive,BG#1,BG#1:2,"
     Great survice
    ",SERVICE#GENERAL,survice,"('6', '13')","['Great', 'survice']"
positive,ADLT#4,ADLT#4:0,"
     MMMMMMMMMmmmmmm so delicious
    ",FOOD#QUALITY,NULL,"('0', '0')","['MMMMMMMMMmmmmmm', 'delicious']"
positive,CLF#1,CLF#1:0,"
     A beautifully designed dreamy Egyptian restaurant that gets sceney at night.
    ",AMBIENCE#GENERAL,Egyptian restaurant,"('30', '49')","['A', 'beautifully', 'designed', 'dreamy', 'Egyptian', 'restaurant', 'gets', 'sceney', 'night']"
positive,CLF#1,CLF#1:1,"
     Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.
    ",FOOD#QUALITY,baba ganoush,"('56', '68')","['Watch', 'talented', 'belly', 'dancers', 'enjoy', 'delicious', 'baba', 'ganoush', 'lemony', 'smoky']"
positive,CLF#1,CLF#1:1,"
     Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.
    ",AMBIENCE#GENERAL,belly dancers,"('19', '32')","['Watch', 'talented', 'belly', 'dancers', 'enjoy', 'delicious', 'baba', 'ganoush', 'lemony', 'smoky']"
positive,CLF#1,CLF#1:2,"
     Oh, and there's hookah.
    ",AMBIENCE#GENERAL,hookah,"('16', '22')","['Oh', 'hookah']"
positive,P#9,P#9:0,"
     Raymond the bartender rocks!
    ",SERVICE#GENERAL,Raymond,"('0', '7')","['Raymond', 'bartender', 'rocks']"
positive,P#9,P#9:1,"
     Pacifico is a great place to casually hang out.
    ",RESTAURANT#MISCELLANEOUS,Pacifico,"('0', '8')","['Pacifico', 'great', 'place', 'casually', 'hang']"
positive,P#9,P#9:2,"
     The drinks are great, especially when made by Raymond.
    ",DRINKS#QUALITY,drinks,"('4', '10')","['The', 'drinks', 'great', 'especially', 'made', 'Raymond']"
positive,P#9,P#9:2,"
     The drinks are great, especially when made by Raymond.
    ",SERVICE#GENERAL,Raymond,"('46', '53')","['The', 'drinks', 'great', 'especially', 'made', 'Raymond']"
positive,P#9,P#9:3,"
     The omlette for brunch is great...
    ",FOOD#QUALITY,omlette for brunch,"('4', '22')","['The', 'omlette', 'brunch', 'great']"
positive,P#9,P#9:4,"
     the spinach is fresh, definately not frozen...
    ",FOOD#QUALITY,spinach,"('4', '11')","['spinach', 'fresh', 'definately', 'frozen']"
positive,P#9,P#9:5,"
     quacamole at pacifico is yummy, as are the wings with chimmichuri.
    ",FOOD#QUALITY,quacamole,"('0', '9')","['quacamole', 'pacifico', 'yummy', 'wings', 'chimmichuri']"
positive,P#9,P#9:5,"
     quacamole at pacifico is yummy, as are the wings with chimmichuri.
    ",FOOD#QUALITY,wings with chimmichuri,"('43', '65')","['quacamole', 'pacifico', 'yummy', 'wings', 'chimmichuri']"
negative,P#9,P#9:6,"
     A weakness is the chicken in the salads.
    ",FOOD#QUALITY,chicken in the salads,"('18', '39')","['A', 'weakness', 'chicken', 'salads']"
negative,P#9,P#9:7,"
     It's just average, just shredded, no seasoning on it.
    ",FOOD#QUALITY,NULL,"('0', '0')","['average', 'shredded', 'seasoning']"
negative,P#9,P#9:8,"
     Also, I personally wasn't a fan of the portobello and asparagus mole.
    ",FOOD#QUALITY,portobello and asparagus mole,"('39', '68')","['Also', 'I', 'personally', 'fan', 'portobello', 'asparagus', 'mole']"
neutral,P#9,P#9:9,"
     Overall, decent food at a good price, with friendly people.
    ",FOOD#QUALITY,food,"('16', '20')","['Overall', 'decent', 'food', 'good', 'price', 'friendly', 'people']"
positive,P#9,P#9:9,"
     Overall, decent food at a good price, with friendly people.
    ",FOOD#PRICES,food,"('16', '20')","['Overall', 'decent', 'food', 'good', 'price', 'friendly', 'people']"
positive,P#9,P#9:9,"
     Overall, decent food at a good price, with friendly people.
    ",SERVICE#GENERAL,people,"('52', '58')","['Overall', 'decent', 'food', 'good', 'price', 'friendly', 'people']"
positive,BG#6,BG#6:0,"
     Best Indian Restaurant in the City
    ",RESTAURANT#GENERAL,Indian Restaurant,"('5', '22')","['Best', 'Indian', 'Restaurant', 'City']"
negative,BG#6,BG#6:1,"
     Decor needs to be upgraded but the food is amazing!
    ",AMBIENCE#GENERAL,Decor,"('0', '5')","['Decor', 'needs', 'upgraded', 'food', 'amazing']"
positive,BG#6,BG#6:1,"
     Decor needs to be upgraded but the food is amazing!
    ",FOOD#QUALITY,food,"('35', '39')","['Decor', 'needs', 'upgraded', 'food', 'amazing']"
positive,BzG#4,BzG#4:0,"
     This small Astoria souvlaki spot makes what many consider the best gyros in New York.
    ",FOOD#QUALITY,gyros,"('67', '72')","['This', 'small', 'Astoria', 'souvlaki', 'spot', 'makes', 'many', 'consider', 'best', 'gyros', 'New', 'York']"
positive,BzG#4,BzG#4:2,"
     What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.
    ",FOOD#QUALITY,food,"('34', '38')","['What', 'really', 'makes', 'shine', 'food', 'aggressively', 'seasoned', 'Cyrpriot', 'spices', 'made', 'even', 'gyro', 'meat', 'sausages', 'made', 'much', 'higher', 'quality', 'ingredients', 'might', 'otherwise', 'expected']"
positive,BzG#4,BzG#4:2,"
     What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.
    ",FOOD#QUALITY,gyro meat,"('125', '134')","['What', 'really', 'makes', 'shine', 'food', 'aggressively', 'seasoned', 'Cyrpriot', 'spices', 'made', 'even', 'gyro', 'meat', 'sausages', 'made', 'much', 'higher', 'quality', 'ingredients', 'might', 'otherwise', 'expected']"
