polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens
negative,TFS#5,TFS#5:2,"
     But $500 for a dinner for two that didn't include Wine?
    ",FOOD#PRICES,dinner for two,"('15', '29')","['But', '500', 'dinner', 'two', 'include', 'Wine']"
positive,TFS#5,TFS#5:4,"
     Look, the appetizers were really good.
    ",FOOD#QUALITY,appetizers,"('10', '20')","['Look', 'appetizers', 'really', 'good']"
positive,TFS#5,TFS#5:5,"
     The entree was also very good.
    ",FOOD#QUALITY,entree,"('4', '10')","['The', 'entree', 'also', 'good']"
negative,TFS#5,TFS#5:6,"
     Can't argue about that, but they are clearly over priced.
    ",FOOD#PRICES,NULL,"('0', '0')","['argue', 'clearly', 'priced']"
neutral,TFS#5,TFS#5:7,"
     What you are paying for is the environment and the name.
    ",AMBIENCE#GENERAL,environment,"('31', '42')","['What', 'paying', 'environment', 'name']"
neutral,TFS#5,TFS#5:7,"
     What you are paying for is the environment and the name.
    ",RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['What', 'paying', 'environment', 'name']"
negative,TFS#5,TFS#5:7,"
     What you are paying for is the environment and the name.
    ",RESTAURANT#PRICES,NULL,"('0', '0')","['What', 'paying', 'environment', 'name']"
positive,TFS#5,TFS#5:8,"
     Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.
    ",AMBIENCE#GENERAL,place,"('9', '14')","['Yes', 'place', 'classy', 'beautiful', 'certainly', 'target', 'uber', 'whealthy', 'Not', 'common', 'joe', 'wants', 'go', 'every']"
negative,TFS#5,TFS#5:8,"
     Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.
    ",RESTAURANT#PRICES,place,"('9', '14')","['Yes', 'place', 'classy', 'beautiful', 'certainly', 'target', 'uber', 'whealthy', 'Not', 'common', 'joe', 'wants', 'go', 'every']"
negative,TFS#5,TFS#5:12,"
     Which of course is not real Kobe but Wagyu beef.
    ",FOOD#QUALITY,NULL,"('0', '0')","['Which', 'course', 'real', 'Kobe', 'Wagyu', 'beef']"
negative,TFS#5,TFS#5:13,"
     Surprised that a place of this caliber would advertise it as Kobe.
    ",RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['Surprised', 'place', 'caliber', 'would', 'advertise', 'Kobe']"
neutral,TFS#5,TFS#5:16,"
     Vanison was good but not amazing.
    ",FOOD#QUALITY,Vanison,"('0', '7')","['Vanison', 'good', 'amazing']"
positive,TFS#5,TFS#5:17,"
     Bison was quite excellent however.
    ",FOOD#QUALITY,Bison,"('0', '5')","['Bison', 'quite', 'excellent', 'however']"
negative,TFS#5,TFS#5:18,"
     Dessert: pure disaster.
    ",FOOD#QUALITY,Dessert,"('0', '7')","['Dessert', 'pure', 'disaster']"
negative,TFS#5,TFS#5:19,"
     Just not good at all.
    ",FOOD#QUALITY,NULL,"('0', '0')","['Just', 'good']"
negative,TFS#5,TFS#5:20,"
     Some Pineapple covered in a glaze of some kind and some pear tart thing Not impressive at all.
    ",FOOD#STYLE_OPTIONS,NULL,"('0', '0')","['Some', 'Pineapple', 'covered', 'glaze', 'kind', 'pear', 'tart', 'thing', 'Not', 'impressive']"
negative,TFS#5,TFS#5:20,"
     Some Pineapple covered in a glaze of some kind and some pear tart thing Not impressive at all.
    ",FOOD#QUALITY,NULL,"('0', '0')","['Some', 'Pineapple', 'covered', 'glaze', 'kind', 'pear', 'tart', 'thing', 'Not', 'impressive']"
negative,TFS#5,TFS#5:21,"
     I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.
    ",RESTAURANT#PRICES,restaurant,"('31', '41')","['I', 'read', 'reviews', 'called', 'restaurant', 'expensive', 'I', 'thought', 'may', 'worth']"
negative,TFS#5,TFS#5:21,"
     I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.
    ",RESTAURANT#GENERAL,restaurant,"('31', '41')","['I', 'read', 'reviews', 'called', 'restaurant', 'expensive', 'I', 'thought', 'may', 'worth']"
