polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens
positive,558423,558423:0,"
     This place has the best Chinese style BBQ ribs in the city.
    ",FOOD#QUALITY,BBQ ribs,"('38', '46')","['This', 'place', 'best', 'Chinese', 'style', 'BBQ', 'ribs', 'city']"
positive,558423,558423:0,"
     This place has the best Chinese style BBQ ribs in the city.
    ",FOOD#STYLE_OPTIONS,BBQ ribs,"('38', '46')","['This', 'place', 'best', 'Chinese', 'style', 'BBQ', 'ribs', 'city']"
positive,558423,558423:1,"
     I also recommend the rice dishes or the different varieties of congee (rice porridge).
    ",FOOD#QUALITY,rice dishes,"('21', '32')","['I', 'also', 'recommend', 'rice', 'dishes', 'different', 'varieties', 'congee', 'rice', 'porridge']"
positive,558423,558423:1,"
     I also recommend the rice dishes or the different varieties of congee (rice porridge).
    ",FOOD#QUALITY,congee (rice porridge),"('63', '85')","['I', 'also', 'recommend', 'rice', 'dishes', 'different', 'varieties', 'congee', 'rice', 'porridge']"
positive,558423,558423:2,"
     It's great to go for a quick lunch either alone or with a friend.
    ",RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['great', 'go', 'quick', 'lunch', 'either', 'alone', 'friend']"
negative,558423,558423:3,"
     It's definately not a place to go if you want to impress someone.
    ",RESTAURANT#MISCELLANEOUS,place,"('22', '27')","['definately', 'place', 'go', 'want', 'impress', 'someone']"
positive,558423,558423:4,"
     However, if you want great food at a great price and don't mind the decor, you can't beat this place.
    ",FOOD#QUALITY,food,"('27', '31')","['However', 'want', 'great', 'food', 'great', 'price', 'mind', 'decor', 'beat', 'place']"
neutral,558423,558423:4,"
     However, if you want great food at a great price and don't mind the decor, you can't beat this place.
    ",AMBIENCE#GENERAL,decor,"('68', '73')","['However', 'want', 'great', 'food', 'great', 'price', 'mind', 'decor', 'beat', 'place']"
positive,558423,558423:4,"
     However, if you want great food at a great price and don't mind the decor, you can't beat this place.
    ",FOOD#PRICES,food,"('27', '31')","['However', 'want', 'great', 'food', 'great', 'price', 'mind', 'decor', 'beat', 'place']"
positive,558423,558423:5,"
     Quick and friendly service.
    ",SERVICE#GENERAL,service,"('19', '26')","['Quick', 'friendly', 'service']"
positive,558423,558423:6,"
     This is one of the best comfort food places in the city.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['This', 'one', 'best', 'comfort', 'food', 'places', 'city']"
positive,558423,558423:7,"
     It's somewhere you can eat and be happy.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['somewhere', 'eat', 'happy']"
positive,561054,561054:1,"
     When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.
    ",AMBIENCE#GENERAL,main dining room,"('29', '45')","['When', 'sitting', 'main', 'dining', 'room', 'spectacular', 'high', 'ceiling', 'never', 'know', 'world', 'outside']"
positive,561054,561054:1,"
     When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.
    ",AMBIENCE#GENERAL,ceiling,"('90', '97')","['When', 'sitting', 'main', 'dining', 'room', 'spectacular', 'high', 'ceiling', 'never', 'know', 'world', 'outside']"
positive,561054,561054:2,"
     The food is wonderful, tasty and filling, and the service is professional and friendly.
    ",FOOD#QUALITY,food,"('4', '8')","['The', 'food', 'wonderful', 'tasty', 'filling', 'service', 'professional', 'friendly']"
positive,561054,561054:2,"
     The food is wonderful, tasty and filling, and the service is professional and friendly.
    ",FOOD#STYLE_OPTIONS,food,"('4', '8')","['The', 'food', 'wonderful', 'tasty', 'filling', 'service', 'professional', 'friendly']"
positive,561054,561054:2,"
     The food is wonderful, tasty and filling, and the service is professional and friendly.
    ",SERVICE#GENERAL,service,"('50', '57')","['The', 'food', 'wonderful', 'tasty', 'filling', 'service', 'professional', 'friendly']"
positive,561054,561054:3,"
     I can't wait for summer, when they serve outside on their gigantic patio.
    ",AMBIENCE#GENERAL,patio,"('67', '72')","['I', 'wait', 'summer', 'serve', 'outside', 'gigantic', 'patio']"
positive,565344,565344:0,"
     I recently tried Suan and I thought that it was great.
    ",RESTAURANT#GENERAL,Suan,"('17', '21')","['I', 'recently', 'tried', 'Suan', 'I', 'thought', 'great']"
positive,565344,565344:1,"
     This little place definitely exceeded my expectations and you sure get a lot of food for your money.
    ",FOOD#STYLE_OPTIONS,food,"('80', '84')","['This', 'little', 'place', 'definitely', 'exceeded', 'expectations', 'sure', 'get', 'lot', 'food', 'money']"
positive,565344,565344:1,"
     This little place definitely exceeded my expectations and you sure get a lot of food for your money.
    ",RESTAURANT#GENERAL,place,"('12', '17')","['This', 'little', 'place', 'definitely', 'exceeded', 'expectations', 'sure', 'get', 'lot', 'food', 'money']"
positive,565344,565344:1,"
     This little place definitely exceeded my expectations and you sure get a lot of food for your money.
    ",FOOD#PRICES,food,"('80', '84')","['This', 'little', 'place', 'definitely', 'exceeded', 'expectations', 'sure', 'get', 'lot', 'food', 'money']"
positive,565344,565344:2,"
     The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.
    ",SERVICE#GENERAL,service,"('4', '11')","['The', 'service', 'fast', 'friendly', 'food', 'tasty', 'best', 'hot', 'sauce', 'add', 'meals']"
positive,565344,565344:2,"
     The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.
    ",FOOD#QUALITY,food,"('42', '46')","['The', 'service', 'fast', 'friendly', 'food', 'tasty', 'best', 'hot', 'sauce', 'add', 'meals']"
positive,565344,565344:2,"
     The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.
    ",FOOD#QUALITY,hot sauce,"('84', '93')","['The', 'service', 'fast', 'friendly', 'food', 'tasty', 'best', 'hot', 'sauce', 'add', 'meals']"
positive,565344,565344:3,"
     I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['I', 'say', 'I', 'pleasantly', 'suprised', 'I', 'likely', 'stop', 'I', 'neighborhood']"
positive,571962,571962:0,"
     They all know you.
    ",SERVICE#GENERAL,NULL,"('0', '0')","['They', 'know']"
positive,571962,571962:1,"
     Good food.
    ",FOOD#QUALITY,food,"('5', '9')","['Good', 'food']"
positive,571962,571962:2,"
     Good drink.
    ",DRINKS#QUALITY,drink,"('5', '10')","['Good', 'drink']"
positive,571962,571962:3,"
     How do you rate home?
    ",RESTAURANT#MISCELLANEOUS,NULL,"('0', '0')","['How', 'rate', 'home']"
positive,578016,578016:0,"
     I have never had cheescake like this.
    ",FOOD#QUALITY,cheescake,"('17', '26')","['I', 'never', 'cheescake', 'like']"
positive,578016,578016:1,"
     I thought I had died and gone to heaven.
    ",FOOD#QUALITY,NULL,"('0', '0')","['I', 'thought', 'I', 'died', 'gone', 'heaven']"
positive,584025,584025:0,"
     Great spot, whether looking for a couple of drinks or quiet dinner.
    ",RESTAURANT#GENERAL,spot,"('6', '10')","['Great', 'spot', 'whether', 'looking', 'couple', 'drinks', 'quiet', 'dinner']"
positive,584025,584025:0,"
     Great spot, whether looking for a couple of drinks or quiet dinner.
    ",RESTAURANT#MISCELLANEOUS,spot,"('6', '10')","['Great', 'spot', 'whether', 'looking', 'couple', 'drinks', 'quiet', 'dinner']"
positive,584025,584025:1,"
     Warm and friendly in the winter and terrific outdoor seating in the warmer months.
    ",AMBIENCE#GENERAL,NULL,"('0', '0')","['Warm', 'friendly', 'winter', 'terrific', 'outdoor', 'seating', 'warmer', 'months']"
positive,584025,584025:1,"
     Warm and friendly in the winter and terrific outdoor seating in the warmer months.
    ",AMBIENCE#GENERAL,outdoor seating,"('45', '60')","['Warm', 'friendly', 'winter', 'terrific', 'outdoor', 'seating', 'warmer', 'months']"
positive,584025,584025:2,"
     The food is great and they have a good selecion of wines at reasonable prices.
    ",FOOD#QUALITY,food,"('4', '8')","['The', 'food', 'great', 'good', 'selecion', 'wines', 'reasonable', 'prices']"
positive,584025,584025:2,"
     The food is great and they have a good selecion of wines at reasonable prices.
    ",DRINKS#STYLE_OPTIONS,selecion of wines,"('39', '56')","['The', 'food', 'great', 'good', 'selecion', 'wines', 'reasonable', 'prices']"
positive,584025,584025:2,"
     The food is great and they have a good selecion of wines at reasonable prices.
    ",DRINKS#PRICES,selecion of wines,"('39', '56')","['The', 'food', 'great', 'good', 'selecion', 'wines', 'reasonable', 'prices']"
positive,584025,584025:3,"
     Have been several times and it never dissapoints.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['Have', 'several', 'times', 'never', 'dissapoints']"
negative,608500,608500:1,"
     We were less than impressed.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['We', 'less', 'impressed']"
