polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens
positive,1349391,1349391:0,"
     sometimes i get good food and ok service.
    ",FOOD#QUALITY,food,"('21', '25')","['sometimes', 'get', 'good', 'food', 'ok', 'service']"
neutral,1349391,1349391:0,"
     sometimes i get good food and ok service.
    ",SERVICE#GENERAL,service,"('33', '40')","['sometimes', 'get', 'good', 'food', 'ok', 'service']"
negative,1349391,1349391:1,"
     sometimes i get bad food and bad service, sometimes i get good good and bad service.
    ",FOOD#QUALITY,food,"('20', '24')","['sometimes', 'get', 'bad', 'food', 'bad', 'service', 'sometimes', 'get', 'good', 'good', 'bad', 'service']"
negative,1349391,1349391:1,"
     sometimes i get bad food and bad service, sometimes i get good good and bad service.
    ",SERVICE#GENERAL,service,"('33', '40')","['sometimes', 'get', 'bad', 'food', 'bad', 'service', 'sometimes', 'get', 'good', 'good', 'bad', 'service']"
negative,1349391,1349391:1,"
     sometimes i get bad food and bad service, sometimes i get good good and bad service.
    ",SERVICE#GENERAL,service,"('76', '83')","['sometimes', 'get', 'bad', 'food', 'bad', 'service', 'sometimes', 'get', 'good', 'good', 'bad', 'service']"
positive,1349391,1349391:1,"
     sometimes i get bad food and bad service, sometimes i get good good and bad service.
    ",FOOD#QUALITY,good,"('63', '67')","['sometimes', 'get', 'bad', 'food', 'bad', 'service', 'sometimes', 'get', 'good', 'good', 'bad', 'service']"
negative,1349391,1349391:2,"
     it is not consistent.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')",['consistent']
positive,1352948,1352948:0,"
     The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
    ",FOOD#STYLE_OPTIONS,dishes,"('42', '48')","['The', 'place', 'BISTRO', 'means', 'simple', 'dishes', 'wine', 'served', 'efficiently', 'bustling', 'atmosphere']"
positive,1352948,1352948:0,"
     The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
    ",DRINKS#STYLE_OPTIONS,wine,"('53', '57')","['The', 'place', 'BISTRO', 'means', 'simple', 'dishes', 'wine', 'served', 'efficiently', 'bustling', 'atmosphere']"
positive,1352948,1352948:0,"
     The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
    ",SERVICE#GENERAL,NULL,"('0', '0')","['The', 'place', 'BISTRO', 'means', 'simple', 'dishes', 'wine', 'served', 'efficiently', 'bustling', 'atmosphere']"
positive,1352948,1352948:0,"
     The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
    ",AMBIENCE#GENERAL,atmosphere,"('91', '101')","['The', 'place', 'BISTRO', 'means', 'simple', 'dishes', 'wine', 'served', 'efficiently', 'bustling', 'atmosphere']"
positive,1352948,1352948:1,"
     And where does Patis go wrong; no where.
    ",RESTAURANT#GENERAL,Patis,"('15', '20')","['And', 'Patis', 'go', 'wrong']"
positive,1352948,1352948:2,"
     You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.
    ",FOOD#STYLE_OPTIONS,NULL,"('0', '0')","['You', 'eating', 'haut', 'cuisine', 'subtle', 'hints', 'whatever', 'Cassuolet', 'Steake', 'Fritte', 'Tripe', 'Stew', 'etc', 'simple', 'stuff']"
positive,1352948,1352948:2,"
     You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.
    ",FOOD#QUALITY,NULL,"('0', '0')","['You', 'eating', 'haut', 'cuisine', 'subtle', 'hints', 'whatever', 'Cassuolet', 'Steake', 'Fritte', 'Tripe', 'Stew', 'etc', 'simple', 'stuff']"
positive,1352948,1352948:3,"
     And evaluated on those terms Pastis is simply wonderful.
    ",RESTAURANT#GENERAL,Pastis,"('29', '35')","['And', 'evaluated', 'terms', 'Pastis', 'simply', 'wonderful']"
positive,1353599,1353599:0,"
     Right off the L in Brooklyn this is a nice cozy place with good pizza.
    ",FOOD#QUALITY,pizza,"('64', '69')","['Right', 'L', 'Brooklyn', 'nice', 'cozy', 'place', 'good', 'pizza']"
positive,1353599,1353599:0,"
     Right off the L in Brooklyn this is a nice cozy place with good pizza.
    ",AMBIENCE#GENERAL,place,"('48', '53')","['Right', 'L', 'Brooklyn', 'nice', 'cozy', 'place', 'good', 'pizza']"
negative,1353599,1353599:1,"
     Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
    ",FOOD#QUALITY,raddichio,"('76', '85')","['Mine', 'little', 'burnt', 'still', 'delicious', 'goat', 'cheese', 'panchetta', 'raddichio', 'kind', 'bitter', 'though']"
positive,1353599,1353599:1,"
     Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
    ",FOOD#QUALITY,NULL,"('0', '0')","['Mine', 'little', 'burnt', 'still', 'delicious', 'goat', 'cheese', 'panchetta', 'raddichio', 'kind', 'bitter', 'though']"
positive,1353599,1353599:2,"
     My friend got the mushroom pizza which tasted better.
    ",FOOD#QUALITY,mushroom pizza,"('18', '32')","['My', 'friend', 'got', 'mushroom', 'pizza', 'tasted', 'better']"
positive,1353599,1353599:3,"
     The sangria was pretty tasty and good on a hot muggy day.
    ",DRINKS#QUALITY,sangria,"('4', '11')","['The', 'sangria', 'pretty', 'tasty', 'good', 'hot', 'muggy', 'day']"
neutral,1353599,1353599:4,"
     Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.
    ",RESTAURANT#MISCELLANEOUS,place,"('16', '21')","['Kind', 'small', 'place', 'I', 'guess', 'busy', 'might', 'able', 'fit', 'group', 'kids']"
positive,1353599,1353599:5,"
     Overall I would recommend it and go back again.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['Overall', 'I', 'would', 'recommend', 'go', 'back']"
positive,1357554,1357554:0,"
     I started out with a Bombay beer which was big enough for two.
    ",DRINKS#STYLE_OPTIONS,Bombay beer,"('21', '32')","['I', 'started', 'Bombay', 'beer', 'big', 'enough', 'two']"
positive,1357554,1357554:2,"
     MMmmm... it was delicious.
    ",FOOD#QUALITY,NULL,"('0', '0')","['MMmmm', 'delicious']"
negative,1357554,1357554:3,"
     Service was slow, but the people were friendly.
    ",SERVICE#GENERAL,Service,"('0', '7')","['Service', 'slow', 'people', 'friendly']"
positive,1357554,1357554:3,"
     Service was slow, but the people were friendly.
    ",SERVICE#GENERAL,people,"('26', '32')","['Service', 'slow', 'people', 'friendly']"
positive,1357554,1357554:4,"
     It's a nice place to relax and have conversation.
    ",AMBIENCE#GENERAL,place,"('12', '17')","['nice', 'place', 'relax', 'conversation']"
positive,1357554,1357554:5,"
     I can't wait to go back.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['I', 'wait', 'go', 'back']"
positive,1367358,1367358:1,"
     The food is authentic Italian - delicious!
    ",FOOD#QUALITY,food,"('4', '8')","['The', 'food', 'authentic', 'Italian', 'delicious']"
positive,1367358,1367358:2,"
     Pizza is terrific, as is homemade pasta.
    ",FOOD#QUALITY,Pizza,"('0', '5')","['Pizza', 'terrific', 'homemade', 'pasta']"
positive,1367358,1367358:2,"
     Pizza is terrific, as is homemade pasta.
    ",FOOD#QUALITY,homemade pasta,"('25', '39')","['Pizza', 'terrific', 'homemade', 'pasta']"
positive,1367358,1367358:3,"
     Ambience is delightful, service impeccable.
    ",AMBIENCE#GENERAL,Ambience,"('0', '8')","['Ambience', 'delightful', 'service', 'impeccable']"
