polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens
positive,759781,759781:0,"
     I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.
    ",RESTAURANT#GENERAL,Areo,"('10', '14')","['I', 'went', 'Areo', 'Sunday', 'afternoon', 'four', 'girlfriends', 'spent', 'three', 'enjoyable', 'hours']"
positive,759781,759781:2,"
     Most of the servers are very attentive, friendly and quite attractive.
    ",SERVICE#GENERAL,servers,"('12', '19')","['Most', 'servers', 'attentive', 'friendly', 'quite', 'attractive']"
positive,759781,759781:4,"
     The vibe is very relaxed and cozy, service was great and the food was excellent!
    ",AMBIENCE#GENERAL,vibe,"('4', '8')","['The', 'vibe', 'relaxed', 'cozy', 'service', 'great', 'food', 'excellent']"
positive,759781,759781:4,"
     The vibe is very relaxed and cozy, service was great and the food was excellent!
    ",SERVICE#GENERAL,service,"('35', '42')","['The', 'vibe', 'relaxed', 'cozy', 'service', 'great', 'food', 'excellent']"
positive,759781,759781:4,"
     The vibe is very relaxed and cozy, service was great and the food was excellent!
    ",FOOD#QUALITY,food,"('61', '65')","['The', 'vibe', 'relaxed', 'cozy', 'service', 'great', 'food', 'excellent']"
positive,759781,759781:5,"
     Me and my girls will definitely go back.
    ",RESTAURANT#GENERAL,NULL,"('0', '0')","['Me', 'girls', 'definitely', 'go', 'back']"
positive,773720,773720:0,"
     Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.
    ",FOOD#QUALITY,Food,"('0', '4')","['Food', 'good', 'view', 'new', 'york', 'city', 'skiline', 'terrific', 'even', 'foggy', 'rainy', 'day', 'like', 'I', 'went']"
positive,773720,773720:0,"
     Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.
    ",LOCATION#GENERAL,view of the new york city skiline,"('22', '55')","['Food', 'good', 'view', 'new', 'york', 'city', 'skiline', 'terrific', 'even', 'foggy', 'rainy', 'day', 'like', 'I', 'went']"
positive,773720,773720:1,"
     I would highly recommand requesting a table by the window.
    ",LOCATION#GENERAL,NULL,"('0', '0')","['I', 'would', 'highly', 'recommand', 'requesting', 'table', 'window']"
positive,773720,773720:2,"
     Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.
    ",SERVICE#GENERAL,service,"('77', '84')","['Although', 'typical', 'kind', 'water', 'would', 'like', 'questions', 'service', 'good', 'overall', 'relaxing', 'place', 'eat']"
